input_data,predict,answer
G M A E F D A V T A F A D A P A A V L S T L N A D G A P H L V P V V F A V H V P H V E G Q P A R I Y T A V D A K R K T T R N L R R L A N I D R D S R V S L L V D H Y S D D W T Q L W W V R A D G V A T T H H S G D E V A T G Y A L L R A K Y H Q Y E R V S L D G P V I S V E V S R W A S W Q A, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,# # # # # H H H H H H H H H # # S S S S S S # # # # # S S S S S S # # S S S # # # # # # # # # S S S S S # # # # # # # # # H H H H H H H H H H H # S S S S S S S S # # # H H H H # S S S S S S S S S S S S # # H H H H H H H H H H H H H H H H H H H H # # # # # # S S S S S S S S S S S S S #
M K K I A N Y L L I E K T D D R Y T I S M T P E L Q D D I G T I G Y A E F T D N D H L A V D D I I L N L E A S K T V M S V L S P L A G A V V E R N E A A T L T P T L L N S E K A E E N W I V V L T D V D Q A A F D A L E D A G S G H H H H H H H, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H,# S S S S # # S S S S S S # # S S S S S S H H H H H H H H H # S S S S S S # # # # S S # # # # S S S S S S S # # # S S S S S # # # # S S S S S S # H H H H H H H H H H H H # H H H H H S S S S S S # # H H H H H H H # S S # # # # # # # # # # #
L V E N V K Q A L F I P G Q S C N K N L H D I M V D L S A L K K P D M K R F N R K N D I H P F E D M S P L E F F S E K N D C S L M V L M T S S K K R K N N M T F I R T F G Y K I Y D M I E L M V A D N F K L L S D F K K L T F T V G L K P M F T F Q G A A F D T H P V Y K Q I K S L F L D F F R G E S T D L Q D V A G L Q H V I S M T I Q G D F Q D G E P L P N V L F R V Y K L K S Y K S D Q G G K R L P R I E L V E I G P R L D F K I G R I H T P S P D M V T E A H K K P, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # ,# # # # # # # S S S S S # # # # H H H H H H H H H H H H H H H H # # S S S # # # # # # # # # # # # H H H H H H H H H H H H # # S S S S S S # # # # # # # S S S S S S S S # # S S S S S S S S S S # # # # # H H H H H # # # # # # # # # # # S S S S S # H H H H H H H H H H H H H H H H H H H H H # # # # # S S S # H H H # S S S S S S S # # # # # # # # # # # # S S S S S S S S S S S # # # # # # # # # # S S S S S S # # # # S S S S S S S S S # # H H H H H H H H H # # #
M G S S H H H H H H S S G L V P R G S H M S N N V Y I T K V S A F M P G N P I D N N T M E S V L G F V G G R P S R S R H I V L R N N G I K Y R H Y A L D P E T G E A T Y T S A Q L A A E A V K G L V D E H F S L D D M Q S L A A S S G T S D Q I I P G H G V M V H G E L K N K P C E V I S T S G A C A A G M T A M K Y A Y L S V L S G A T S N A V S T T S E V P S T V L H A R N F Q S E N E A R V A E L E R R P E I A F E K D F L R W M L S D G A G A A L L E N K P R P D G V S L R I D W I D I Y S F A N E Q E T C M Y S G G E K L A D G S L K G W A Q M S Q A D W L A Y S V F C I K Q D V R Y L N E R V V K F T L T E P L R R I V A D R N L S S E S I D W F L P H Y S S E Y F R M K F S E G L D D I N F S I E Q E R W F T N L T V K G N T G S A S I Y I M L D E L M K S G K L K K D Q R L L C F I P E S A R F T G A F M H L T V V, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # # # # # # # # # # # # # # # # # # S S S S S S S S # # # # # S S # # H H H H H H H # # # # # # # # H H H H H H H H H H # # S S # # # # # # # # # # # # # H H H H H H H H H H H H # # # # # # H H H H H # S S S S S # # # # # # # # # H H H H H H H H H H H # # # # S S S S S # # # # H H H H H H H H H H H H H H H H # # # # S S S S S S S S # H H H H H H H H H H H H H H H H H H H H # # # # # # # H H H H H H H H H H # # # S S S S S S S S # # # # # # # # S S S S S S S S S S S # # # # # # # # S S # # S S S # # # # # S S S # H H H H H H H H H H H # # # # # S S H H H H H H H H H H H H H H H H H H H H H H H H H H # H H H H H # S S S S # # # H H H H H H H H H H H H H H H # # # # H H H H H # # H H H H H H # H H H H H H H H H H H H H H H H # # # # # # # S S S S S S S S # # # # S S S S S S S S S S
M D N G E L I S I I V P V Y N V E K Y L K R C L D S L L R Q T Y K N F E I I L I N D G S T D N S S I I C E E Y A K I D N R I Q I L H Q T N A G P S A A R N A G I T Y A S G K Y I T F V D S D D F V E E F Y L E H L Y R A L V D N G S D I S V C N F N S F N E D R Q S F L F S I T K E K Y F C K N Y T I A E W M D L E S S A N N N L F L T F T F S P T K L F K A E L F E G I R F P L G R L R E D D A T I Y R L Y L K A S Q I T F I N E G S Y Y Y S Q R S E G L S R T R M L D D I S S M I S N A E E R I A L L A S M G Y D L T E Q I K S Y K G R L K K C C E D A L R N G Q I E L Y Q Q C C N K L D L I E N Y P K E K, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # S S S S S S S # # # # # H H H H H H H H H H H # # # # # S S S S S S S # # # # # H H H H H H H H H H H # # # # S S S S S # # # # H H H H H H H H H H H H H # # # S S S S # # # # # S S # # H H H H H H H H H H H H # # # # S S S S S S S S S S # # # # S S S # # # H H H H H # S S S S H H H H H H # # # # # # # # # H H H H H # # # # # S S S S # H H H H # # # # # # # # # # # # # # H H H H H H H H H # # S S S S S S S S S S S S S # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H # # H H H H H H H H H H H H H H H H H H H H H H # H H H H H H H H H H H H H H H H H H # # # #
G A M A L Y E F V G L L D A H G N V L E V N Q V A L E G G G I T L E E I R G K P F W K A R W W Q I S K K T E A T Q K R L V E T A S S G E F V R C D V E I L G K S G G R E V I A V D F S L L P I C N E E G S I V Y L L A E G R N I T D K K K A E A M L A L K N Q E L E, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H,H H H H H H # S S S S S S # # # # S S S S H H H H H H H H H # H H H H H H # # H H H H H H H H H # H H H H H H H H H H H H H H H H H # # # S S S S S S S S S S # # # # S S S S S S S S S S S S S # # # # # S S S S S S S S S S H H H H H H H H H H H H H # # # # # #
M G S S H H H H H H S S G L V P R G S H M L I F R Q L F D Q Q S S T Y T Y L L A D S T T R E A V L I D P V F E Q V R R D A A L I E E L G L H L L Y T I D T H V H A D H V T G A W M L N R R I G S R I A I S A A S G A E G A D R Y L S H G D K V E F G T R Y L T V R A T P G H T D G C I T L V L D N E T M A F T G D C L L I R G T G R T D F Q R G D A H T M F R A V H G Q I F T L P T A C L L Y P A H D Y R G L T V T S V G E E R R F N P R L G G E L C E E D F T G Y M T N L H L P H P K Q I D V A V P A N L K C G L A A S V P T Q M T E P D W A P L T C S F A G I W E I N A Q W L E E N L R A V E I V D V R E P E E F N G P L G R I P A A R L I S L G E L A G R T A E L T K D R P I V T V S R A G G R S A Q A T V M L R Q A G F E R V A N L P G G M L R W R A E G R V V E N G S V, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # # # # # # # # # # # # # # S S S S S S S S # # # # S S S S S S S S # # # # S S S S S # # H H H H H H H H H H H H H H H # # S S S S S S S # # # # # # # # # H H H H H H H H H # # S S S S S # H H H # # # # # S S S # # # # S S S S # # S S S S S S S # # # # # # # # S S S S S # # # # S S S S S # # S S # # S S # # # # # # # # H H H H H H H H H H H H H # # # # # # # S S S S # # # # # # # # # S S H H H H H H H H # # # # # # # H H H H H H H H H H # # # # # # # # H H H H H H H H H H H # # # # # # # # # # # # # # # # # # S S S # # # # # S S S H H H H H H H H # # # # S S S S # # H H H H H H # # # # # # # # # # # # H H H H H # # H H H H H # # # # # S S S S # # # # H H H H H H H H H H H H H # # # # S S S # # H H H H H H H H # # # # # # # # # #
M P S S S K S D F S F S T L I I P Q H Y L R A I L K V V S S S S V E V C G F L F G K E N R V L K V R F I R N R L N S P V E F E M D P E E M L K A L E E A E Q E N L E V V G I F H S H I A C P P I P S G K D L E G M K R W P V I W L I V N E K G E Y K A W I L S E K N K I S E V K I V V E, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # ,# # # # # # # # # # # # S S S S H H H H H H H H H H H H H H H # # # # S S S S S S S # # S S S S S S S S # # # # # # # # # # # # H H H H H H H H H H H H H H H # # S S S S S S S S S # # # # # # # H H H H H H H H H H H # # S S S S S S # # # # S S S S S S # # # # # S S S S S S S S #
G A M A A D L G S D D I S K L I A A C D Q E P I H I P N A I Q P F G A M L I V E K D T Q Q I V Y A S A N S A E Y F S V A D N T I H E L S D I K Q A N I N S L L P E H L I S G L A S A I R E N E P I W V E T D R L S F L G W R H E N Y Y I I E V E R Y H V Q T S N W F E I Q F Q R A F Q K L R N C K T H N D L I N T L T R L I Q E I S G Y D R V M I Y Q F D P E W N G R V I A E S V R Q L F T S M L N H H F P A S D I P A Q A R A M Y S I N P I R I I P D V N A E P Q P L H M I H K P Q N T E A V N L S S G V L R A V S P L H M Q Y L R N F G V S A S T S I G I F N E D E L W G I V A C H H T K P R A I G R R I R R L L V R T V E F A A E R L W L I H S R N V E R Y M V T V Q A A R E Q L S T T A D D K H S S H E I V I E H A A D W C K L F R C D G I G Y L R G E E L T T Y G E T P D Q T T I N K L V E W L E E N G K K S L F W H S H M L K E D A P G L L P D G S R F A G L L A I P L K S D A D L F S Y L L L F R V A Q N E V R T W A G K P E K L S V E T S T G T M L G P R K S F E A W Q D E V S G K S Q P W R T A Q L Y A A R D I A R D L L I V A D S M Q L N L L N D Q L A D A N E N L E K L A S F D D L T G I F N R R R M E D R L E S E V K E A Q R Y K K Q F G I L L F D L D K F K S V N D T Y G H N I G D Q I L Q N T C A A V S E T L R D T D K F G R W G G E E F L I I A P Q T G M P E L M Q L G E R V R A A V E K M Q H K D L P A V T I S I G V A E F Q N D T R W D H M I D R A D K A M Y R A K E N G R N Q V C S Q, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # # H H H H H H H H H H H H H # # # # # # S S # # # # S S S S S S # # # # # S S S S S # H H H H H H H # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H # # # # # # S S S S # # # S S S S S S S S # # S S S S S S S S # # # # # # H H H H H H H H H H H H H H H H H # H H H H H H H H H H H H H H H H H H # # S S S S S S S # # # # # S S S S S S S S # # # # # # # # # S S S H H H H H H H H H H H # # # # # # S S S S # # # # # # # S S S S S # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H # # # S S S S S S S S S # # S S S S S S S S S S # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H # # # H H H H H H H H H H H H H H H H H H # # S S S S S S # # S S S S S S # # # H H H H H H H H H H H H H H H # # # # # # S S S # H H H H H H # # # # # # # # # S S S S S S S S # # # # # # # # S S S S S S S S # # # # S S S S S # # # # # # S S S S # # S S S S # # # # # # # S S S S S # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H # # # # # # # H H H H H H H H H H H H H H H H H H H H # # S S S S S S S S # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H # # # # S S S S S S # # S S S S S S S # # H H H H H H H H H H H H H H H H H H H # # # # # # # # # S S S S S S S # # # # # H H H H H H H H H H H H H H H H H H H # # # # S S S #
M K I L K D D A P E L H A I A A E V P H G E D V K D L V L D M T A A M T A A G G I G L A G N Q V G V L K R I I V L R C P T F K G C V I N P I I T R H T D G H V Y S P E G C L S Y P G K T V A K K R R N K V V V E G Y D M D W Q P I T I A A K G L T A F C L Q H E I D H L N G V T I, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,# # # # # # # H H H H H H # # # # # # # # # # H H H H H H H H H H H H H H H # # # S S S # H H H H # # # # S S S S S S # # S S S S S S S S S S S S S # # # # S S S S S # # # # # # # # # S S S S S # # S S S S S S S # # # # # S S S S S S S H H H H H H H H H H H H H H H # # # #
M A Q I L P I R F Q E H L Q L Q N L G I N P A N I G F S T L T M E S D K F I C I R E K V G E Q A Q V V I I D M N D P S N P I R R P I S A D S A I M N P A S K V I A L K A G K T L Q I F N I E M K S K M K A H T M T D D V T F W K W I S L N T V A L V T D N A V Y H W S M E G E S Q P V K M F D R H S S L A G C Q I I N Y R T D A K Q K W L L L T G I S A Q Q N R V V G A M Q L Y S V D R K V S Q P I E G H A A S F A Q F K M E G N A E E S T L F C F A V R G Q A G G K L H I I E V G T P P T G N Q P F P K K A V D V F F P P E A Q N D F P V A M Q I S E K H D V V F L I T K Y G Y I H L Y D L E T G T C I Y M N R I S G E T I F V T A P H E A T A G I I G V N R K G Q V L S V C V E E E N I I P Y I T N V L Q N P D L A L R M A V R N N L A G A E E L F A R K F N A L F A Q G N Y S E A A K V A A N A P K G I L R T P D T I R R F Q S V P A Q P G Q T S P L L Q Y F G I L L D Q G Q L N K Y E S L E L C R P V L Q Q G R K Q L L E K W L K E D K L E C S E E L G D L V K S V D P T L A L S V Y L R A N V P N K V I Q C F A E T G Q V Q K I V L Y A K K V G Y T P D W I F L L R N V M R I S P D Q G Q Q F A Q M L V Q D E E P L A D I T Q I V D V F M E Y N L I Q Q C T A F L L D A L K N N R, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # S S S S S S S S # H H H H # H H H H H # # # # S S # # # # # S S S S S S S S # # S S S S S S S S # # # # # # # S S S # # # # # S S S S # # # # # S S S S S S # # S S S S S S # # # # S S S S S S S # # # # S S S S S S S S # # S S S S S S # # S S S S S S # # # # # # # S S S S S # H H H H H # # S S S S S S S # # # # # S S S S S S S S S # # # # S S S S S S S S S # # # # S S S S S # # # S S S S S S S # # # # # # # # S S S S S S S S S S # # S S S S S S S S # # # # # # # # # # # # # S S S S # # # # # # # # # # # S S S S S S S # # # # S S S S S S # # # S S S S S S # # # # # S S S S S S # # # # # # # S S S S S # # # # S S S S S # # # # S S S S S S S # # # H H H H H H H H H # # H H H H H H H H H H H H # # # # H H H H H H H H H H H H H H H # H H H H H H H H H H H # # # # # # # H H H H H H H H H H # # # # # # # # H H H H H H H H H H H H H H # # H H H H H H H H H H H H H H H # # H H H H H H H H H H # # # # # H H H H H H H H H H # H H H H H H H H H H H H # H H H H H H H H H H H H # H H H H H H H H H H H H H # # # H H H H H H H H H H H H H H H H H H H H H H H H H # # # # # # # H H H H H H H H H H H H # H H H H H H H H H H H H H H H H H
