input_data,predict,answer
G S G L S N Q L A V T F R E E N T I A F R H L F L L G Y S D G A D D T F A A Y T R E Q L Y Q A I F H A V D Q Y L A L P D V S L G R Y A Y V R G G G D P W T N G S G L A L C Q R Y Y H R G H V D P A N D T F D I D P M V V T D C I Q V D P P E R P P P P P S D D L T L L E S S S S Y K N L T L K F H K L V N V T I H F R L K T I N L Q S L I N N E I P D C Y T F S V L I T F D N K A H S G R I P I S L E T Q A H I Q E C K H P S V F Q H G D N S L E H H H H H H, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # ,H H H H H H H H H H H H H H H H H H H H H H H H H # # # # # # # # # # # S S # H H H H H H H H H H H H H H H H H H H H H H H # # # # S S # # # # # # # # # # # # # S S S S S S S S S S S S S S H H H H S S S S S S S S S S S S S S S # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H # S S S S S S S S S S S S S S H H H H H H H # # # S S S S S S S S S S S S # # # # # # # S S S S S S S S S S S S # # # # # # # # # # # # # # # # # # # # # #
G S H M K K I F V G G L S V N T T V E D V K H Y F E Q F G K V D D A M L M F D K T T N R H R G F G F V T F E S E D I V E K V C E I H F H E I N N K M V E C K K A Q P K E V M S P T G S A R G R S, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # ,# # # # # S S S S S # # # # # # H H H H H H H H H H # # # # S S S S S S S S # # # # # # S S S S S S S S S # H H H H H H H H H H H H S S S S # # S S S S S S S # # # H H H H H # # # # # # # # #
M A K G G S R V S N P A V M A Q E E E D V R D Y N L T E E Q K A I K A K Y P P V N R K Y E Y L D H T A D V Q L H A W G D T L E E A F E Q C A M A M F G Y M T D T G T V E P L Q T V E V E T Q G D D L Q S L L F H F L D E W L Y K F S A D E F F I P R E V K V L S I D Q R N F K L R S I G W G E E F S L S K H P Q G T E V K A I T Y S A M Q V Y N E E N P E V F V I I D I L E H H H H H H, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,# # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H # # # # # # S S S S S S S S S S S S S S S # # H H H H H H H H H H H H H H H H H H H H H H H # # # S S S S S S S S # # H H H H H H H H H H H H H H H H H H H # # # S S S S S S S S S S S S # # # # S S S S S S S S S S # # # # # # # # # # # S S S S S S S S S S S S # # # # # S S S S S S S S # # # # # # # #
S F S S P S G S T I E A G I A Y P I S T G F D P L T S S G A S S M A A N L H I F E G L V D L H P V T R Q P Y L A L A A K E P E Q K D D L T Y Y I S L R E G A M F H D G S P V T T E D V V Y S F E R V L D P A K A S L F A Q F I P F I A S V T A L D D N V V E F K L K Y P F A L F K E R L T I I K I V P K H I V E A G Q S A F D A K P I G S G P Y K F V S A T K D D R I V F E A N T V Y N G H Y P A K V E K M T W F L L S D D A A R V T A Q E S G R V Q A I E S V P Y L D A E R L K R K N N V E S V Q S F G L L F L M F N C E K A P F D N P K V R Q A L H Y A L D K Q K L I D I V F L G N A K A A T S Y L Q D T H P D Y V K A S S Q Y D Y D K A K A E K L L A E A G I T N L T F Q L L A T D H A W V K E C A P L I L E S W N A L S V V K V T L Q H L Q S G A L Y S A H V D K G A Y E V V I A P G D P S V F G N D L D L L L S W W Y R G D V W P K R R F R W A N T A E Y H E V Q K L L D E A I K N P A G S K V A W Q K A I N I I A E Q V P L Y P I I H R K L P T A W N T K K L T D F Q P L P T T G L S F L G V G R T, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # S S S S S S # # # # # # # # # # # # # # H H H H H H H H H H H H # # # S S S # # # # # # S S S # # # # # # # S S # # # # S S S S S # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H # # S S S S S S # # # # S S S S S S # # # # # H H H H H H H H H # # # H H H H H H # H H H H H H H H # # # # # # S S S S S S S # # # S S S S S S # # # # # # # # # # # # # S S S S S S # # H H H H H H H H H H H # # # # S S # # # # # # H H H H H H # # # S S S S S S S S S S S S S S S # # # # # # # # H H H H H H H H H H H # H H H H H H H H H H H # # S S S # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H # # # # S S S S S S S # # # # H H H H H H H H H H H H H H H # # # S S S S S S S # H H H H H H H H # # # # # # # # S S S S S S H H H H H # # H H H H H H H H H H H # # # # # # # # # # # # # H H H H H H H H H H H H H H H # H H H H H H H H H H H H H H H H H H H H # S S S S S S S S S S S S S # # # # S S # # # # # # # # # # # # # # # S S #
G P G S I P D Y Q E Q D I F L W R K E T G F G F R I L G G N E P G E P I Y I G H I V P L G A A D T D G R L R S G D E L I C V D G T P V I G K S H Q L V V Q L M Q Q A A K Q G H V N L T V R R K V V, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # ,# # # # # # # S S S S S S S S S # # # # # # # S S S S S # # # # # # # S S S S S S # # # H H H H H H H # # # # # # S S S S S # # S S # # # # H H H H H H H H H H H H H H H H S S S S S S S S S # #
M K K A N E A L T R N R E L T T V L V K N L P K S Y N Q N K V Y K Y F K H C G P I I H V D V A D S L K K N F R F A R I E F A R Y D G A L A A I T K T H K V V G Q N E I I V S H L T E C T L W M T N F P P S Y T Q R N I R D L L Q D I N V V A L S I R L P S L R F N T S R R F A Y I D V T S K E D A R Y C V E K L N G L K I E G Y T L V T K V S N P L E K S K R T D S A T L E G R E I M I R N L S T E L L D E N L L R E S F E G F G S I E K I N I P A G Q K E H S F N N C C A F M V F E N K D S A E R A L Q M N R S L L G N R E I S V S L A D K K P F L E R N E V K R L L A S R N S K E L E T L I C L F P L S D K V S P S L I C Q F L Q E E I H I N E K D I R K I L L V S D F N G A I I I F R D S K F A A K M L M I L N G S Q F Q G K V I R S G T I N D M K R Y Y N N Q Q N H S M K H V K P S C I N M M E K G P N L Q V K K K I P D K Q E Q M S N D D F R K M F L G E H H H H H H, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # H H H H H H H H H H S S S S S S S # # # # H H H H H H H H H H H H H # S S S S S S S S # # # # # # S S S S S S S # H H H H H H H H H H # # # # S S # # S S # S S S S # # # # S S S S S # # # # # # H H H H H H H H H H H H # # # S S S S S # # # # # # # # # # # S S S S S S # H H H H H H H H H H H H H # # S S # # S S # S S S S # H H H H H # # # # H H H H H H # # S S S S S S S H H H H H H H H H H H H H H H H H H # S S S S S # # # # # # # # # # # # S S S S S S S # H H H H H H H H H H H H # # S S # # S S # S S S S # # H H H H H H H H H H H H H H H H # # # # H H H # S S S S S # # # # # # H H H H H H H H H H H H # # # H H H # S S S S S S S H H H H S S S S S S # H H H H H H H H H H H H H # # S S # # S S # S S S H H H H H H H H H H H H H # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
M L E K K R V S F R P M N E D D L V L M L K W L T D D R V L E F Y D G R D K K H T Q K T I R E H Y T E Q W A D E I Y R V I I E Y D T I P I G Y A Q I Y R I Q G E L F D E Y N Y H E T E E K I Y A M D Q F I G E P E Y W N M G I G A E Y C R V V C Q Y L R T E M D A D A V I L D P R K N N L R A V R A Y Q K A G F K I I K E L P E H E L H E G K K E D C V L M E W R V, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,# # # # # # S S S S S # H H H H H H H H H H H H # H H H H H H # # # # # # # # # H H H H H H H H H H # # # # # # S S S S S S S S # # S S S S S S S S S S # H H H H H H H H H # # # # # # # S S S S S S S S # H H H H H # # H H H H H H H H H H H H H H H H H H H # # S S S S # # # # # H H H H H H H H H H H # # S S S S S S S S S S S S # # S S S S S S S S S S # #
G P M T L P K M E P S S H A P T E P D I Q K D K D D S I I R E N E N I P A P L G T V V Q L L F G S N T E Y M Q K V I T R D K N N V N V E T I P K F T P S L V E G G S R H Y E Y T K K L N N S I G P K Q T K C L L T E S I E H M D I N N Y V L V T Q T T K T P D V P S G S N F A V E S K I F L F W G Q H D T T N M T V I T K I N W T S K S F L K G A I E K G S V E G Q K V S V D Y M L S E L R D I I S R A K S K K P V K, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # # # # # # # # # # # # # # # # # # # S S S S S S S S S # # H H H H H H H H H H H # # H H H H H H H H H H H # # S S # # # # # # # # # # # # # # # # S S S S S S S S S # # # # # # # # S S S S S S S S S S S S S # # # # S S S S S S S S S # # # # # H H H # S S S S S S S S S S S # H H H # S S S S S S S S S S S # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H # # # # #
S M A Q D K R S G F L T L G Y R G S Y T T V R D N Q A D A K F R R V A R I M V C G R I A L A K E V F G D T L N E S R D P D R Q P E K Y T S R F Y L K F T Y L E Q A F D R L S E A G F H M V A C N S S G T A A F V N Q Y R D D K I W S S Y T E Y I F F R P, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,# # # # # # # # S S S S S S S S S S # # # # # # # # # # # # # # # # # S S S S S S S H H H H H H H H H H H H # # # # # # # # # # # # # S S S S S # # # # H H H H H H H H H H H H # # S S S S S S S S S S S S # # # # # # # # # S S S S S S S S S S S S #
M S S E R V F H L C V C D P L D S I L T S Q I Y N H I E Q I A P N I H V M F K S S L N Q N T E H Q L R Y Q E T E F V I S Y E D F H R P E F T S V P L F K D E M V L V A S K N H P T I K G P L L K H D V Y N E Q H A A V S L D R F A S F S Q P W Y D T V D K Q A S I A Y Q G M A M M S V L S V V S Q T H L V A I A P R W L A E E F A E S L E L Q V L P L P L K Q N S R T C Y L S W H E A A G R D K G H Q W M E E Q L V S I C K R L E H H H H H H, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # ,# # # # # S S S S S S # # H H H H H H H H H H H H H H H H # # # # # S S S S S # # # # # H H H H H H H H H # # # S S S S # # # # # # # # S S S S S S S S S S S S S S S S # # # # # # # # # # H H H H H H H H # S S S S # # # # # # # # H H H H H # H H H H H H # S S S S S # H H H H H H H H H H # # # # # S S S S H H H H H H H H H H H H S S S S S # # # # # # S S S S S S S S S # # # # # H H H H H H H H H H H H H H H H H H H # # # # # #
M K K L L T V M T M A V L T A G T L L L P A Q S V T P A A H A V Q I S N S E R E L P F K A K H A Y S T I S Q L S E A I G P R I A G T A A E K K S A L L I A S S M R K L K L D V K V Q R F N I P D R L E G T L S S A G R D I L L Q A A S G S A P T E E Q G L T A P L Y N A G L G Y Q K D F T A D A K G K I A L I S R G D L T Y Y E K A K N A E A A G A K A V I I Y N N K E S L V P M T P N L S G N K V G I P V V G I K K E D G E A L T Q Q K E A T L K L K A F T N Q T S Q N I I G I K K P K N I K H P D I V Y V T A H Y D S V P F S P G A N D N G S G T S V M L E M A R V L K S V P S D K E I R F I A F G A E E L G L L G S S H Y V D H L S E K E L K R S E V N F N L D M V G T S W E K A S E L Y V N T L D G Q S N Y V W E S S R T A A E K I G F D S L S L T Q G G S S D H V P F H E A G I D S A N F I W G D P E T E E V E P W Y H T P E D S I E H I S K E R L Q Q A G D L V T A A V Y E A V K K E K K P K T I K K Q M K A K A S D I F E D I K, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H # # # # # # # # H H H H H H H H H H H H H H H H H H # # S S S S S S S S # # # S S S S S S S S # # S S S # S S S # # # # # # # # # # # S S S S S S S # # # # H H H H H H H H H H # # S S S S S # # # # H H H H H H H H H H H H # # # S S S S S # # # # # # # # # # # # # # # # # # # # # S S S S H H H H H H H H H # # # S S S S S S S S S # # # S S S S S S S S S # # # # # # # # # S S S S S S S # # # # # # # # # # # # H H H H H H H H H H H H H H H H # # # # # # S S S S S S S # H H H H H H H H H H H H H H H # H H H H H H H S S S S S S S # # # # # # # # # # # S S S S S S # # # # # H H H H H H H H H H H H H H H # # # S S S S S # # # # H H H H H H H H # # S S S S S S S S # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H # # # # # # # # # # # # # # H H H H H # # # # #
D Y K D D D D K V L G L K Y E E I D C L I N D E H T I K G R R E G N E V F L P F T W V E K Y F D V Y G K V V Q Y D G Y D R F E F S H S Y S K V Y A Q R A P Y H P D G V F M S F E G Y N V E V R D R V K C I S G V E G V P L S T Q W G P Q G Y F Y P I Q I A Q Y G L S H Y S K N L T E K P P H I E V Y E T A E D R D K N K P N D W T V P K G C F M A N V A D K S R F T N V K Q F I A P E T S E G V S L Q L G N T K D F I I S F D L K F L T N G S V S V V L E T T E K N Q L F T I H Y V S N A Q L I A F K E R D I Y Y G I G P R T S W S T V T R D L V T D L R K G V G L S N T K A V K P T K I M P K K V V R L I A K G K G F L D N I T I S T T A H M A A F F A A S D W L V R N Q D E K G G W P I M V T R K L G E G F K S L E P G W Y S A M A Q G Q A I S T L V R A Y L L T K D H I F L N S A L R A T A P Y K F L S E Q H G V K A V F M N K H D W Y E E Y P T T P S S F V L N G F M Y S L I G L Y D L K E T A G E K L G K E A R S L Y E R G M E S L K A M L P L Y D T G S G T I Y D L R H F M L G I A P N L A R W D Y H T T H I N Q L Q L L S T I D E S P V F K E F V K R W K S Y L K G S R A K H N, # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,# # # # # # # # # # # # # # S S S S S S S # # # S S S S S S S S # # S S S # # H H H H H H H H H # S S S S S S S # # S S S S S S S # # # # # # # # # # # # # # # # # # # # H H H H H # # # # # # # S S S S # # # # # # S S S # # # # # # # # # H H H H H H H H H H H H H H H H H H H # # # # S S S S S # # # # # # # # # # # # # # # # # # # S S S S S S S H H H H S S S S S S S S # # # # # # S S S S # # # # # # # S S S S S S S S # # # S S S S S S S S # # # # # # S S S S S S S # # # # # # S S S # # S S S S S # # # # # # # S S S S S S H H H H H H H H H H # # # # # # # # # # # # # # # S S S S S S S S S S S S S S # S S S S # # H H H H H H H H H H H H H H H H H # # # # # # # # # # # # # # # # # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H # # S S S S # # # S S S S # # # # # # # # # # H H H H H H H H H H H H H H H H H H H H # # # H H H H H H H H H H H H H H H H H H H H H H H # # # # # # # # H H H H H H H # # # # # # H H H H H H H H H H H H H H H H H # # # H H H H H H H H H H H H H H H # # # # # # # #
